"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              1,              0,              1,              0,              0,              0,
2020-03-01,              1,            1.0,              0,              0,              0,              0,
2020-03-02,              1,            1.0,              0,              0,              0,              0,
2020-03-03,              1,            1.0,              0,              0,              0,              0,
2020-03-04,              1,            1.0,              0,              0,              0,              0,
2020-03-05,              2,            2.0,              1,              0,              0,              0,
2020-03-06,              3,            1.5,              1,              0,              0,              0,
2020-03-07,              4,          1.333,              1,              0,              0,              0,
2020-03-08,              5,           1.25,              1,              0,              0,              0,
2020-03-09,              5,            1.0,              0,              0,              0,              0,
2020-03-10,              7,            1.4,              2,              0,              0,              0,
2020-03-11,              7,            1.0,              0,              0,              0,              0,
2020-03-12,             26,          3.714,             19,              0,              0,              0,
2020-03-13,             38,          1.462,             12,              1,              0,              1,
2020-03-14,             51,          1.342,             13,              1,            1.0,              0,
2020-03-15,             77,           1.51,             26,              1,            1.0,              0,
2020-03-16,             81,          1.052,              4,              1,            1.0,              0,
2020-03-17,            140,          1.728,             59,              1,            1.0,              0,
2020-03-18,            203,           1.45,             63,              2,            2.0,              1,
2020-03-19,            335,           1.65,            132,              4,            2.0,              2,
2020-03-20,            484,          1.445,            149,              5,           1.25,              1,
2020-03-21,            670,          1.384,            186,              8,            1.6,              3,
2020-03-22,            798,          1.191,            128,              8,            1.0,              0,
2020-03-23,            875,          1.096,             77,              8,            1.0,              0,
2020-03-24,           1099,          1.256,            224,              8,            1.0,              0,
2020-03-25,           1333,          1.213,            234,              8,            1.0,              0,
2020-03-26,           1453,           1.09,            120,              9,          1.125,              1,
2020-03-27,           1605,          1.105,            152,             15,          1.667,              6,
2020-03-28,           1831,          1.141,            226,             18,            1.2,              3,
2020-03-29,           1950,          1.065,            119,             21,          1.167,              3,
2020-03-30,           1988,          1.019,             38,             22,          1.048,              1,
2020-03-31,           2178,          1.096,            190,             23,          1.045,              1,
2020-04-01,           2319,          1.065,            141,             29,          1.261,              6,
2020-04-02,           2487,          1.072,            168,             30,          1.034,              1,
2020-04-03,           2612,           1.05,            125,             31,          1.033,              1,
2020-04-04,           2729,          1.045,            117,             31,            1.0,              0,
2020-04-05,           2804,          1.027,             75,             36,          1.161,              5,
2020-04-06,           2843,          1.014,             39,             41,          1.139,              5,
2020-04-07,           2970,          1.045,            127,             44,          1.073,              3,
2020-04-08,           3034,          1.022,             64,             46,          1.045,              2,
2020-04-09,           3115,          1.027,             81,             52,           1.13,              6,
2020-04-10,           3223,          1.035,            108,             54,          1.038,              2,
