"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              1,              0,              1,              0,              0,              0,
2020-02-29,              1,            1.0,              0,              0,              0,              0,
2020-03-01,              1,            1.0,              0,              0,              0,              0,
2020-03-02,              1,            1.0,              0,              0,              0,              0,
2020-03-03,              4,            4.0,              3,              0,              0,              0,
2020-03-04,              6,            1.5,              2,              0,              0,              0,
2020-03-05,              6,            1.0,              0,              0,              0,              0,
2020-03-06,              6,            1.0,              0,              0,              0,              0,
2020-03-07,              6,            1.0,              0,              0,              0,              0,
2020-03-08,              6,            1.0,              0,              0,              0,              0,
2020-03-09,              6,            1.0,              0,              0,              0,              0,
2020-03-10,              9,            1.5,              3,              0,              0,              0,
2020-03-11,              9,            1.0,              0,              0,              0,              0,
2020-03-12,             21,          2.333,             12,              0,              0,              0,
2020-03-13,             27,          1.286,              6,              0,              0,              0,
2020-03-14,             27,            1.0,              0,              0,              0,              0,
2020-03-15,             27,            1.0,              0,              0,              0,              0,
2020-03-16,             36,          1.333,              9,              0,              0,              0,
2020-03-17,             36,            1.0,              0,              0,              0,              0,
2020-03-18,             51,          1.417,             15,              0,              0,              0,
2020-03-19,             51,            1.0,              0,              0,              0,              0,
2020-03-20,             69,          1.353,             18,              0,              0,              0,
2020-03-21,             76,          1.101,              7,              0,              0,              0,
2020-03-22,             76,            1.0,              0,              0,              0,              0,
2020-03-23,             81,          1.066,              5,              0,              0,              0,
2020-03-24,             81,            1.0,              0,              0,              0,              0,
2020-03-25,             86,          1.062,              5,              0,              0,              0,
2020-03-26,             86,            1.0,              0,              0,              0,              0,
2020-03-27,             94,          1.093,              8,              0,              0,              0,
2020-03-28,             94,            1.0,              0,              0,              0,              0,
2020-03-29,             94,            1.0,              0,              0,              0,              0,
2020-03-30,            152,          1.617,             58,              0,              0,              0,
2020-03-31,            152,            1.0,              0,              1,              0,              1,
2020-04-01,            163,          1.072,             11,              2,            2.0,              1,
2020-04-02,            304,          1.865,            141,              4,            2.0,              2,
2020-04-03,            351,          1.155,             47,              4,            1.0,              0,
2020-04-04,            440,          1.254,             89,              5,           1.25,              1,
2020-04-05,            562,          1.277,            122,              8,            1.6,              3,
2020-04-06,            700,          1.246,            138,             13,          1.625,              5,
2020-04-07,            861,           1.23,            161,             13,            1.0,              0,
2020-04-08,           1066,          1.238,            205,             13,            1.0,              0,
2020-04-09,           1486,          1.394,            420,             16,          1.231,              3,
2020-04-10,           1981,          1.333,            495,             19,          1.188,              3,
