"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              1,              0,              1,              0,              0,              0,
2020-03-02,              1,            1.0,              0,              0,              0,              0,
2020-03-03,              1,            1.0,              0,              0,              0,              0,
2020-03-04,              1,            1.0,              0,              0,              0,              0,
2020-03-05,              1,            1.0,              0,              0,              0,              0,
2020-03-06,              1,            1.0,              0,              0,              0,              0,
2020-03-07,              1,            1.0,              0,              0,              0,              0,
2020-03-08,              1,            1.0,              0,              0,              0,              0,
2020-03-09,              1,            1.0,              0,              0,              0,              0,
2020-03-10,              1,            1.0,              0,              0,              0,              0,
2020-03-11,              1,            1.0,              0,              0,              0,              0,
2020-03-12,              6,            6.0,              5,              0,              0,              0,
2020-03-13,              8,          1.333,              2,              0,              0,              0,
2020-03-14,             20,            2.5,             12,              0,              0,              0,
2020-03-15,             28,            1.4,              8,              0,              0,              0,
2020-03-16,             52,          1.857,             24,              0,              0,              0,
2020-03-17,             78,            1.5,             26,              0,              0,              0,
2020-03-18,            110,           1.41,             32,              0,              0,              0,
2020-03-19,            122,          1.109,             12,              0,              0,              0,
2020-03-20,            136,          1.115,             14,              0,              0,              0,
2020-03-21,            160,          1.176,             24,              0,              0,              0,
2020-03-22,            194,          1.212,             34,              0,              0,              0,
2020-03-23,            235,          1.211,             41,              0,              0,              0,
2020-03-24,            249,           1.06,             14,              0,              0,              0,
2020-03-25,            265,          1.064,             16,              0,              0,              0,
2020-03-26,            290,          1.094,             25,              1,              0,              1,
2020-03-27,            329,          1.134,             39,              1,            1.0,              0,
2020-03-28,            407,          1.237,             78,              1,            1.0,              0,
2020-03-29,            424,          1.042,             17,              3,            3.0,              2,
2020-03-30,            482,          1.137,             58,              3,            1.0,              0,
2020-03-31,            532,          1.104,             50,              3,            1.0,              0,
2020-04-01,            571,          1.073,             39,              4,          1.333,              1,
2020-04-02,            663,          1.161,             92,              7,           1.75,              3,
2020-04-03,            736,           1.11,             73,              7,            1.0,              0,
2020-04-04,            770,          1.046,             34,              7,            1.0,              0,
2020-04-05,            822,          1.068,             52,              7,            1.0,              0,
2020-04-06,            833,          1.013,             11,              8,          1.143,              1,
2020-04-07,            853,          1.024,             20,              8,            1.0,              0,
2020-04-08,            881,          1.033,             28,              9,          1.125,              1,
2020-04-09,            921,          1.045,             40,             10,          1.111,              1,
2020-04-10,            937,          1.017,             16,             12,            1.2,              2,
