"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              1,              0,              1,              0,              0,              0,
2020-03-03,              1,            1.0,              0,              0,              0,              0,
2020-03-04,              1,            1.0,              0,              0,              0,              0,
2020-03-05,              1,            1.0,              0,              0,              0,              0,
2020-03-06,              1,            1.0,              0,              0,              0,              0,
2020-03-07,              1,            1.0,              0,              0,              0,              0,
2020-03-08,              1,            1.0,              0,              0,              0,              0,
2020-03-09,              1,            1.0,              0,              0,              0,              0,
2020-03-10,              1,            1.0,              0,              0,              0,              0,
2020-03-11,              1,            1.0,              0,              0,              0,              0,
2020-03-12,              1,            1.0,              0,              0,              0,              0,
2020-03-13,              1,            1.0,              0,              0,              0,              0,
2020-03-14,              1,            1.0,              0,              0,              0,              0,
2020-03-15,             12,           12.0,             11,              0,              0,              0,
2020-03-16,             29,          2.417,             17,              0,              0,              0,
2020-03-17,             48,          1.655,             19,              0,              0,              0,
2020-03-18,             56,          1.167,              8,              0,              0,              0,
2020-03-19,             69,          1.232,             13,              0,              0,              0,
2020-03-20,             84,          1.217,             15,              0,              0,              0,
2020-03-21,            100,           1.19,             16,              0,              0,              0,
2020-03-22,            112,           1.12,             12,              0,              0,              0,
2020-03-23,            127,          1.134,             15,              0,              0,              0,
2020-03-24,            154,          1.213,             27,              0,              0,              0,
2020-03-25,            172,          1.117,             18,              0,              0,              0,
2020-03-26,            212,          1.233,             40,              0,              0,              0,
2020-03-27,            235,          1.108,             23,              1,              0,              1,
2020-03-28,            246,          1.047,             11,              1,            1.0,              0,
2020-03-29,            259,          1.053,             13,              3,            3.0,              2,
2020-03-30,            268,          1.035,              9,              5,          1.667,              2,
2020-03-31,            274,          1.022,              6,              5,            1.0,              0,
2020-04-01,            278,          1.015,              4,              5,            1.0,              0,
2020-04-02,            299,          1.076,             21,              5,            1.0,              0,
2020-04-03,            310,          1.037,             11,              5,            1.0,              0,
2020-04-04,            323,          1.042,             13,              5,            1.0,              0,
2020-04-05,            345,          1.068,             22,              5,            1.0,              0,
2020-04-06,            349,          1.012,              4,              6,            1.2,              1,
2020-04-07,            353,          1.011,              4,              6,            1.0,              0,
2020-04-08,            358,          1.014,              5,              6,            1.0,              0,
2020-04-09,            372,          1.039,             14,              7,          1.167,              1,
2020-04-10,            372,            1.0,              0,              7,            1.0,              0,
