"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              1,              0,              1,              0,              0,              0,
2020-03-03,              1,            1.0,              0,              0,              0,              0,
2020-03-04,              1,            1.0,              0,              0,              0,              0,
2020-03-05,              2,            2.0,              1,              0,              0,              0,
2020-03-06,              2,            1.0,              0,              0,              0,              0,
2020-03-07,              2,            1.0,              0,              0,              0,              0,
2020-03-08,              2,            1.0,              0,              0,              0,              0,
2020-03-09,              2,            1.0,              0,              0,              0,              0,
2020-03-10,              3,            1.5,              1,              1,              0,              1,
2020-03-11,              6,            2.0,              3,              1,            1.0,              0,
2020-03-12,              6,            1.0,              0,              1,            1.0,              0,
2020-03-13,              7,          1.167,              1,              1,            1.0,              0,
2020-03-14,             18,          2.571,             11,              1,            1.0,              0,
2020-03-15,             28,          1.556,             10,              1,            1.0,              0,
2020-03-16,             37,          1.321,              9,              1,            1.0,              0,
2020-03-17,             44,          1.189,              7,              2,            2.0,              1,
2020-03-18,             54,          1.227,             10,              2,            1.0,              0,
2020-03-19,             63,          1.167,              9,              2,            1.0,              0,
2020-03-20,             86,          1.365,             23,              3,            1.5,              1,
2020-03-21,             96,          1.116,             10,              3,            1.0,              0,
2020-03-22,            115,          1.198,             19,              4,          1.333,              1,
2020-03-23,            143,          1.243,             28,              4,            1.0,              0,
2020-03-24,            170,          1.189,             27,              5,           1.25,              1,
2020-03-25,            225,          1.324,             55,              6,            1.2,              1,
2020-03-26,            275,          1.222,             50,             11,          1.833,              5,
2020-03-27,            345,          1.255,             70,             23,          2.091,             12,
2020-03-28,            402,          1.165,             57,             25,          1.087,              2,
2020-03-29,            479,          1.192,             77,             26,           1.04,              1,
2020-03-30,            556,          1.161,             77,             33,          1.269,              7,
2020-03-31,            617,           1.11,             61,             36,          1.091,              3,
2020-04-01,            654,           1.06,             37,             39,          1.083,              3,
2020-04-02,            708,          1.083,             54,             44,          1.128,              5,
2020-04-03,            791,          1.117,             83,             48,          1.091,              4,
2020-04-04,            919,          1.162,            128,             59,          1.229,             11,
2020-04-05,           1021,          1.111,            102,             70,          1.186,             11,
2020-04-06,           1120,          1.097,             99,             80,          1.143,             10,
2020-04-07,           1184,          1.057,             64,             90,          1.125,             10,
2020-04-08,           1275,          1.077,             91,             93,          1.033,              3,
2020-04-09,           1374,          1.078,             99,             97,          1.043,              4,
2020-04-10,           1448,          1.054,             74,            107,          1.103,             10,
