"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              1,              0,              1,              0,              0,              0,
2020-03-10,              2,            2.0,              1,              0,              0,              0,
2020-03-11,              2,            1.0,              0,              0,              0,              0,
2020-03-12,              3,            1.5,              1,              0,              0,              0,
2020-03-13,              3,            1.0,              0,              0,              0,              0,
2020-03-14,              3,            1.0,              0,              0,              0,              0,
2020-03-15,              3,            1.0,              0,              0,              0,              0,
2020-03-16,              6,            2.0,              3,              0,              0,              0,
2020-03-17,              6,            1.0,              0,              0,              0,              0,
2020-03-18,              7,          1.167,              1,              0,              0,              0,
2020-03-19,             11,          1.571,              4,              0,              0,              0,
2020-03-20,             12,          1.091,              1,              0,              0,              0,
2020-03-21,             32,          2.667,             20,              0,              0,              0,
2020-03-22,             32,            1.0,              0,              0,              0,              0,
2020-03-23,             36,          1.125,              4,              0,              0,              0,
2020-03-24,             36,            1.0,              0,              0,              0,              0,
2020-03-25,             46,          1.278,             10,              0,              0,              0,
2020-03-26,             66,          1.435,             20,              1,              0,              1,
2020-03-27,             88,          1.333,             22,              1,            1.0,              0,
2020-03-28,             97,          1.102,              9,              1,            1.0,              0,
2020-03-29,            108,          1.113,             11,              2,            2.0,              1,
2020-03-30,            141,          1.306,             33,              2,            1.0,              0,
2020-03-31,            141,            1.0,              0,              3,            1.5,              1,
2020-04-01,            172,           1.22,             31,              3,            1.0,              0,
2020-04-02,            193,          1.122,             21,              3,            1.0,              0,
2020-04-03,            232,          1.202,             39,              4,          1.333,              1,
2020-04-04,            262,          1.129,             30,              5,           1.25,              1,
2020-04-05,            309,          1.179,             47,              6,            1.2,              1,
2020-04-06,            323,          1.045,             14,              7,          1.167,              1,
2020-04-07,            335,          1.037,             12,              7,            1.0,              0,
2020-04-08,            351,          1.048,             16,              8,          1.143,              1,
2020-04-09,            361,          1.028,             10,              8,            1.0,              0,
2020-04-10,            398,          1.102,             37,              9,          1.125,              1,
