"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              1,              0,              1,              0,              0,              0,
2020-03-14,              1,            1.0,              0,              0,              0,              0,
2020-03-15,              2,            2.0,              1,              0,              0,              0,
2020-03-16,              2,            1.0,              0,              0,              0,              0,
2020-03-17,              2,            1.0,              0,              0,              0,              0,
2020-03-18,              2,            1.0,              0,              0,              0,              0,
2020-03-19,              2,            1.0,              0,              0,              0,              0,
2020-03-20,              2,            1.0,              0,              0,              0,              0,
2020-03-21,              2,            1.0,              0,              0,              0,              0,
2020-03-22,              2,            1.0,              0,              0,              0,              0,
2020-03-23,              3,            1.5,              1,              0,              0,              0,
2020-03-24,              3,            1.0,              0,              0,              0,              0,
2020-03-25,              3,            1.0,              0,              0,              0,              0,
2020-03-26,              3,            1.0,              0,              0,              0,              0,
2020-03-27,              3,            1.0,              0,              0,              0,              0,
2020-03-28,              3,            1.0,              0,              0,              0,              0,
2020-03-29,              9,            3.0,              6,              0,              0,              0,
2020-03-30,              9,            1.0,              0,              0,              0,              0,
2020-03-31,             13,          1.444,              4,              0,              0,              0,
2020-04-01,             13,            1.0,              0,              0,              0,              0,
2020-04-02,             13,            1.0,              0,              0,              0,              0,
2020-04-03,             13,            1.0,              0,              0,              0,              0,
2020-04-04,             14,          1.077,              1,              0,              0,              0,
2020-04-05,             14,            1.0,              0,              0,              0,              0,
2020-04-06,             14,            1.0,              0,              0,              0,              0,
2020-04-07,             14,            1.0,              0,              0,              0,              0,
2020-04-08,             14,            1.0,              0,              0,              0,              0,
2020-04-09,             14,            1.0,              0,              0,              0,              0,
2020-04-10,             15,          1.071,              1,              0,              0,              0,
